Comparison,CellType,Gene,Number of Datasets its Upgregulated in,Average log2FC,GeneName
TH17vsTREG,CD4_TREG,ENSG00000123411,1,2.19,IKZF4
TH17vsTREG,CD4_TREG,ENSG00000140848,1,2.17,CPNE2
TH17vsTREG,CD4_TREG,ENSG00000155657,2,2.16,TTN
TH17vsTREG,CD4_TREG,ENSG00000004468,1,2.06,CD38
TH17vsTREG,CD4_TREG,ENSG00000163599,2,2.05,CTLA4
TH17vsTREG,CD4_TREG,ENSG00000253522,1,2.04,MIR3142HG
TH17vsTREG,CD4_TREG,ENSG00000204257,1,1.98,HLA-DMA
TH17vsTREG,CD4_TREG,ENSG00000273445,1,1.97,ENSG00000273445
TH17vsTREG,CD4_TREG,ENSG00000261371,1,1.95,PECAM1
TH17vsTREG,CD4_TREG,ENSG00000134215,1,1.9,VAV3
TH17vsTREG,CD4_TREG,ENSG00000266709,1,1.85,ENSG00000266709
TH17vsTREG,CD4_TREG,ENSG00000171848,1,1.8,RRM2
TH17vsTREG,CD4_TREG,ENSG00000136738,1,1.8,STAM
TH17vsTREG,CD4_TREG,ENSG00000141469,1,1.79,SLC14A1
TH17vsTREG,CD4_TREG,ENSG00000149970,2,1.78,CNKSR2
TH17vsTREG,CD4_TREG,ENSG00000003147,1,1.73,ICA1
TH17vsTREG,CD4_TREG,ENSG00000139531,1,1.72,SUOX
TH17vsTREG,CD4_TREG,ENSG00000048052,1,1.67,HDAC9
TH17vsTREG,CD4_TREG,ENSG00000164649,1,1.62,CDCA7L
TH17vsTREG,CD4_TREG,ENSG00000090104,1,1.6,RGS1
TH17vsTREG,CD4_TREG,ENSG00000112394,1,1.59,SLC16A10
TH17vsTREG,CD4_TREG,ENSG00000173848,1,1.55,NET1
TH17vsTREG,CD4_TREG,ENSG00000100077,1,1.5,GRK3
TH17vsTREG,CD4_TREG,ENSG00000125430,1,1.36,HS3ST3B1
TH17vsTREG,CD4_TREG,ENSG00000140948,1,1.33,ZCCHC14
